PLN-MM/YY,Sales_Doc.,Item,V,Loaded_line,New_Plan,Sold_to_party,Country_Key,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Remain_GRF,Destination,Creation,CBE$,BM$
202401,35005714,100,35005714100,GI,2024 Jan,E0194,Canada,Export,GCCF,0.419,1219.2,S280GD,120,568,North America,FOB,2730,2730
202401,35005714,110,35005714110,GI,2024 Jan,E0194,Canada,Export,GCCF,0.482,1219.2,DX51D,120,135,North America,FOB,2730,2730
202310,30080298,10,3008029810,GI,2024 Jan,L0264,Egypt,Local,GCPF,1.5,1000,DX51D,100,1.46,Projects,EXW,1950,4464
202312,30079665,10,3007966510,GI,2024 Jan,L0210,Egypt,Local,GCCF,0.7,1250,DX51D,275,34.47,Service Center,EXW,1830,3451
202312,30079665,50,3007966550,GI,2024 Jan,L0210,Egypt,Local,GHCF,1.5,1250,DX51D,275,22.14,Service Center,EXW,1630,3039
202308,30076330,110,30076330110,GI,2024 Jan,L0130,Egypt,Local,GCNF,0.6,771,DX51D,60,20,Corporate,CPT,2350,3359
202308,30076330,100,30076330100,GI,2024 Jan,L0130,Egypt,Local,GCRF,0.5,484,DX51D,60,4.47,Corporate,CPT,2630,2104
202308,30076330,50,3007633050,CR,2024 Jan,L0130,Egypt,Local,CRRF,0.6,500,DC04EK,,15.8,Corporate,CPT,2890,3213
202308,30076330,60,3007633060,CR,2024 Jan,L0130,Egypt,Local,CRRF,0.6,470,DC04EK,,8.31,Corporate,CPT,2890,3213
202309,35005617,10,3500561710,GI,2024 Jan,E0202,Kenya,Export,GCRF,0.35,106,DX51D,100,5.465,Africa,CFR,3650,3650
202401,35005756,10,3500575610,PP,2024 Jan,E0074,Cyprus,Export,POCF,0.45,1250,DX51D,100,150,Europe,CIF,2650,2650
202401,35005756,30,3500575630,PP,2024 Jan,E0074,Cyprus,Export,POCF,0.6,1250,DX51D,100,50,Europe,CIF,2650,2650
202401,35005756,20,3500575620,PP,2024 Jan,E0074,Cyprus,Export,POCF,0.45,1250,DX51D,100,60,Europe,CIF,2650,2650
202401,35005731,10,3500573110,GI,2024 Jan,E0105,Cyprus,Export,GCRF,1.5,280,DX51D,275,25,Europe,CIF,2910,2910
202401,35005731,20,3500573120,GI,2024 Jan,E0105,Cyprus,Export,GCRF,1.8,280,DX51D,275,25,Europe,CIF,2910,2910
202401,35005731,30,3500573130,GI,2024 Jan,E0105,Cyprus,Export,GHRF,1.9,280,DX51D,275,25,Europe,CIF,2910,2910
202309,30077087,20,3007708720,GI,2024 Jan,L0110,Egypt,Local,GHSF,3,1000,DX51D,60,11.28,Corporate,CPT,2290,2966
202309,30077087,60,3007708760,GI,2024 Jan,L0110,Egypt,Local,GHSF,2.5,1250,DX51D,275,6.49,Corporate,CPT,2490,3149
202305,30073710,10,3007371010,GI,2024 Jan,L0033,Egypt,Local,GCCF,1,1250,DX53D,60,64.38,Corporate,CPT,2410,3432
202305,30073710,20,3007371020,GI,2024 Jan,L0033,Egypt,Local,GCCF,1,1250,DX53D,275,50,Corporate,CPT,2610,3899
202309,30078661,20,3007866120,GI,2024 Jan,L0272,Egypt,Local,GCPF,1.5,170,S320GD,180,0.66,Projects,EXW,2130,3808
202309,30078661,10,3007866110,pp,2024 Jan,L0272,Egypt,Local,POGF,0.7,1219,C350GD,180,2.745,Projects,EXW,2470,4055
202311,30080986,10,3008098610,GI,2024 Jan,L0162,Egypt,Local,GCCF,0.7,1250,DX51D,275,5,Projects,,1950,4462
202311,30080986,30,3008098630,GI,2024 Jan,L0162,Egypt,Local,GCCF,1,1250,DX51D,275,10,Projects,EXW,1950,4215
202311,30080986,40,3008098640,GI,2024 Jan,L0162,Egypt,Local,GCCF,1.2,,DX51D,275,5,Projects,EXW,1950,4124
202305,30070959,10,3007095910,GI,2024 Jan,L0033,Egypt,Local,GCCF,1,1250,DX53D,60,300,Corporate,CPT,2410,2859
202308,30077468,20,3007746820,PP,2024 Jan,L0179,Egypt,Local,POPF,,1250,DX51D,80,0.715,Projects,EXW,2090,4494
202310,30077788,30,3007778830,PP,2024 Jan,L0077,Egypt,Local,PORF,0.45,338,DX52D,100,8,Large Corporate,EXW,2550,4128
202401,35005730,10,3500573010,GI,2024 Jan,E0047,Cyprus,Export,GHCF,3,1250,DX51D,100,50,Europe,CIF,2310,2310
202401,35005730,20,3500573020,GI,2024 Jan,E0047,Cyprus,Export,GCCF,,1250,DX51D,140,25,Europe,CIF,2310,2310
202401,30081052,10,3008105210,PP,2024 Jan,L0270,Egypt,Local,PONF,0.4,810.5,DX51D,100,29,Large Corporate,,2090,4046
202401,30081052,20,3008105220,PP,2024 Jan,L0270,Egypt,Local,PONF,0.4,737.5,DX51D,100,17,Large Corporate,CPT,2490,4046
202401,30081052,30,3008105230,PP,2024 Jan,L0270,Egypt,Local,PONF,0.4,835,DX51D,100,30,Large Corporate,,2090,4046
202308,30076600,20,3007660020,GI,2024 Jan,L0260,Egypt,Local,GCCF,1.5,1000,DX51D,80,8.11,Corporate,,1630,3130
202309,30079026,30,3007902630,pp,2024 Jan,L0140,Egypt,Local,POCF,0.7,1250,DX51D,120,20.71,Projects,EXW,1890,4137
202309,30076842,10,3007684210,GI,2024 Jan,L0309,Egypt,Local,GCCF,0.7,1250,DX51D,275,31.53,Corporate,CPT,2430,3588
202309,30076842,30,3007684230,GI,2024 Jan,L0309,Egypt,Local,GCCF,1.2,1250,DX51D,275,3.98,Corporate,CPT,2430,3396
202308,30078053,10,3007805310,GI,2024 Jan,L0162,Egypt,Local,GCCF,0.7,1250,DX51D,275,5,Projects,EXW,1950,3844
202308,30078053,20,3007805320,GI,2024 Jan,L0162,Egypt,Local,GCCF,0.8,1250,DX51D,275,5,Projects,EXW,1950,1560
202308,30078053,30,3007805330,GI,2024 Jan,L0162,Egypt,Local,GCCF,1,1250,DX51D,275,5,Projects,EXW,1950,3652
202309,30079027,60,3007902760,GI,2024 Jan,L0121,Egypt,Local,GCCF,,1250,DX51D,275,5,Projects,EXW,1750,3588
202312,35005680,10,3500568010,GI,2024 Jan,E0208,Poland,Export,GCRF,1.4,198.5,DX51D,140,25,Europe,CFR,2710,2710
202312,35005680,20,3500568020,GI,2024 Jan,E0208,Poland,Export,GCRF,,197,DX51D,140,25,Europe,CFR,2710,2710
202312,35005686,10,3500568610,GI,2024 Jan,E0047,Cyprus,Export,GHCF,,1250,DX51D,100,25,Europe,CIF,2310,2310
202312,35005686,20,3500568620,GI,2024 Jan,E0047,Cyprus,Export,GCCF,0.8,1250,S350GD,140,75,Europe,CIF,2690,2690
202311,30079666,20,3007966620,GI,2024 Jan,L0267,Egypt,Local,GCCF,0.8,1250,DX51D,275,100,Corporate,EXW,2030,3442
202311,30079666,30,3007966630,GI,2024 Jan,L0267,Egypt,Local,GCCF,1,1250,DX51D,275,36,Corporate,EXW,2030,3341
202311,30079666,40,3007966640,GI,2024 Jan,L0267,Egypt,Local,GCCF,1.2,1250,DX51D,275,36,Corporate,EXW,2030,3277
202401,35005723,10,3500572310,CR,2024 Jan,E0167,Algeria,Export,CRCF,0.45,1000,DC01,,100,Middle East,CFR,2510,2510
202401,35005723,20,3500572320,CR,2024 Jan,E0167,Algeria,Export,CRCF,0.55,1000,DC01,,100,Middle East,CFR,2510,2510
202401,35005723,30,3500572330,CR,2024 Jan,E0167,Algeria,Export,CRCF,0.65,1000,DC01,,100,Middle East,CFR,2510,2510
202309,30076877,50,3007687750,CR,2024 Jan,L0130,Egypt,Local,CRRF,0.6,500,DC04EK,,75.5,Corporate,EXW,2490,3039
202309,30076877,70,3007687770,CR,2024 Jan,L0130,Egypt,Local,CRRF,0.6,550,,,83.08,Corporate,EXW,2310,3039
202309,30076877,190,30076877190,CR,2024 Jan,L0130,Egypt,Local,CRRF,0.5,585,DC01,,3.78,Corporate,EXW,2310,2993
202309,30076877,100,30076877100,GI,2024 Jan,L0130,Egypt,Local,GCRF,0.5,484,DX51D,60,3.1,Corporate,EXW,2230,3194
202309,30076877,110,30076877110,GI,2024 Jan,L0130,Egypt,,GCNF,0.6,771,DX51D,60,20.39,Corporate,EXW,1950,3158
202309,30076877,10,3007687710,CR,2024 Jan,L0130,Egypt,Local,CRNF,0.7,745,DC01,,7.36,Corporate,EXW,2030,2993
202309,30076877,40,3007687740,CR,2024 Jan,L0130,Egypt,Local,CRRF,0.6,530,DC01,,26.39,Corporate,EXW,2310,2993
202309,30076877,60,3007687760,CR,2024 Jan,L0130,Egypt,Local,CRRF,0.6,,DC04EK,,43.61,Corporate,EXW,2490,1992
202309,30076877,180,30076877180,CR,2024 Jan,L0130,Egypt,Local,CRNF,0.5,625,DC01,,1.56,Corporate,EXW,2030,2993
202311,30080979,10,3008097910,GI,2024 Jan,L0162,Egypt,Local,GCCF,0.7,1250,DX51D,275,5,Projects,EXW,1950,1560
202311,30080979,20,3008097920,GI,2024 Jan,L0162,Egypt,Local,GCCF,0.8,1250,DX51D,275,5,Projects,,1950,4362
202311,30080979,30,3008097930,GI,2024 Jan,L0162,Egypt,Local,GCCF,1,1250,DX51D,275,5,Projects,EXW,1950,4215
202310,30080000,10,3008000010,PP,2024 Jan,L0060,Egypt,Local,POGF,0.4,1250,DX51D,120,11.895,Projects,EXW,2290,4047
202310,30077682,10,3007768210,CR,2024 Jan,L0233,Egypt,Local,CRNF,,724,DC06,,125.42,Large Corporate,EXW,2010,3066
202310,30077682,20,3007768220,CR,2024 Jan,L0233,Egypt,Local,CRRF,0.8,574,DC05,,200,Large Corporate,EXW,2490,3066
202310,30077682,30,3007768230,CR,2024 Jan,L0233,Egypt,Local,CRRF,1.75,184,DC05,,32.32,Large Corporate,EXW,2290,3066
202312,35005694,10,3500569410,CR,2024 Jan,E0148,Senegal,Export,CRNF,0.78,915,DC01,,18.73,Africa,CFR,3250,3250
202310,30078234,10,3007823410,CR,2024 Jan,L0230,Egypt,Local,CRRF,,535,DC03,,52.57,High Tech industries,CPT,2430,3378
202310,30080168,10,3008016810,PP,2024 Jan,L0215,Egypt,Local,POGF,0.5,1250,DX51D,120,2,Projects,EXW,2290,3918
202310,30080168,20,3008016820,PP,2024 Jan,L0215,Egypt,Local,POGF,0.5,1250,DX51D,180,8,Projects,EXW,2290,4101
202310,30080168,30,3008016830,PP,2024 Jan,L0215,Egypt,Local,POPF,0.5,1250,DX51D,180,1.5,Projects,EXW,2290,4677
202311,30079879,10,3007987910,GI,2024 Jan,L0189,Egypt,Local,GHRF,2.5,450,S350GD,180,9.32,Large Corporate,CPT,2610,2088
202401,35005789,20,3500578920,PP,2024 Jan,E0096,Kenya,Export,POCF,0.25,975,DX51D,80,5.25,Africa,CFR,3390,3390
202311,30080323,40,3008032340,PP,2024 Jan,L0270,Egypt,Local,PONF,0.5,733,DX51D,100,6,Large Corporate,CPT,2490,4819
202401,30081967,10,3008196710,CR,2024 Jan,L0242,Egypt,Local,CRCF,0.5,1250,DC05,,30,Corporate,EXW,2090,3542
202310,30079750,20,3007975020,GI,2024 Jan,L0297,Egypt,Local,GCSF,1.5,1000,DX51D,80,1.94,Projects,EXW,1810,4047
202311,30079678,30,3007967830,GI,2024 Jan,L0018,Egypt,Local,GHCF,2,1250,DX51D,180,94.38,Large Corporate,EXW,1630,3679
202312,30081907,30,3008190730,GI,2024 Jan,L0102,Egypt,Local,GHCF,3,1250,DX51D,80,20,Service Center,EXW,1430,2694
202312,30081907,10,3008190710,GI,2024 Jan,L0102,Egypt,Local,GCCF,1,,DX51D,80,110,Service Center,EXW,1630,2694
202312,30080691,10,3008069110,CR,2024 Jan,L0050,Egypt,Local,CRSF,0.8,1000,DC04,,60,High Tech industries,EXW,2270,3432
202311,30080976,20,3008097620,GI,2024 Jan,L0162,Egypt,Local,GCCF,1.5,1250,DX51D,275,10,Projects,EXW,1750,4050
202312,30079564,30,3007956430,GI,2024 Jan,L0163,Egypt,Local,GCCF,1,1250,DX53D,275,35,Corporate,CPT,2610,2416
202312,30079564,20,3007956420,GI,2024 Jan,L0163,Egypt,Local,GCCF,1.2,1250,DX53D,80,35,Corporate,CPT,2410,2125
202311,30081182,10,3008118210,GI,2024 Jan,L0199,Egypt,Local,GCCF,1.5,1250,,275,10,Projects,EXW,1750,4366
202312,30079768,170,30079768170,PP,2024 Jan,L0217,Egypt,,POCF,0.5,1250,DX51D,180,72.25,Service Center,EXW,1770,2492
202312,30079768,20,3007976820,PP,2024 Jan,L0217,Egypt,Local,POCF,0.5,1250,DX51D,120,21.67,Service Center,EXW,1770,2400
202312,30079768,30,3007976830,PP,2024 Jan,L0217,Egypt,Local,POCF,0.5,1250,DX51D,120,19.21,Service Center,EXW,1770,2400
202312,30079768,110,30079768110,PP,2024 Jan,L0217,Egypt,Local,POCF,0.5,1250,DX51D,180,43.72,Service Center,EXW,1770,2492
202312,30079768,130,30079768130,PP,2024 Jan,L0217,Egypt,Local,POCF,0.5,1250,DX51D,80,69.69,Service Center,EXW,1770,2331
202312,30079768,180,30079768180,PP,2024 Jan,L0217,Egypt,Local,POCF,,1250,DX51D,80,22.24,Service Center,EXW,1570,2405
202312,35005658,20,3500565820,GI,2024 Jan,E0109,Kenya,Export,GCRF,,100,DX51D,100,28.17,Africa,CFR,3250,3250
202312,35005728,10,3500572810,GI,2024 Jan,E0109,Kenya,Export,GCSF,0.4,1220,DX51D,120,5.09,Africa,CFR,3310,3310
202312,35005728,30,3500572830,GI,2024 Jan,E0109,Kenya,Export,GCSF,1.2,1220,DX51D,120,18.31,Africa,CFR,3310,3310
202312,35005728,100,35005728100,GI,2024 Jan,E0109,Kenya,Export,GCSF,0.6,1220,DX51D,120,12,Africa,,3150,3150
202312,30081140,10,3008114010,PP,2024 Jan,L0099,Egypt,Local,POCF,0.5,1250,DX51D,180,12.12,Projects,EXW,1890,2785
202312,30081246,10,3008124610,PP,2024 Jan,L0135,Egypt,Local,POCF,0.5,1250,DX51D,120,16,Stocking and Distrib,EXW,1770,2839
202312,35005717,10,3500571710,GI,2024 Jan,E0060,Bulgaria,Export,GCCF,0.9,1000,DX51D,100,50,Europe,CFR,2510,2510
202401,35005739,10,3500573910,GI,2024 Jan,E0053,Kenya,Export,GCNF,0.5,605,DX51D,120,15.45,Africa,CFR,3170,3170
202312,35005753,10,3500575310,GI,2024 Jan,E0041,Kenya,Export,GCRF,1.2,353.6,DX51D,120,25,Africa,CFR,3450,3450
202312,35005763,10,3500576310,CR,2024 Jan,E0098,Bulgaria,Export,CRCF,1.25,1250,DC01,,29.53,Europe,CIF,2390,2390
202310,30079228,10,3007922810,BS,2024 Jan,L0095,Egypt,Local,ABCF,0.85,1250,BSQH,,20.63,Stocking and Distrib,EXW,1570,3180
202310,30079228,20,3007922820,BS,2024 Jan,L0095,Egypt,Local,ABCF,0.9,1250,BSQH,,15,Stocking and Distrib,EXW,1570,3180
202310,30078346,60,3007834660,GI,2024 Jan,L0281,Egypt,Local,GHRF,2,160,DX51D,80,5,Large Corporate,EXW,2030,3359
202310,30078346,80,3007834680,GI,2024 Jan,L0281,Egypt,Local,GCNF,1.2,608,DX51D,80,50,Large Corporate,EXW,1950,3304
202310,30078346,90,3007834690,GI,2024 Jan,L0281,Egypt,Local,GCRF,0.5,296,DX51D,80,50,Large Corporate,EXW,2230,3460
202310,30078346,40,3007834640,CR,2024 Jan,L0281,Egypt,Local,CRNF,0.5,,DC01,,47.58,Large Corporate,EXW,2030,3176
202310,30078346,100,30078346100,GI,2024 Jan,L0281,Egypt,Local,GCCF,0.3,1250,DX51D,80,26.06,Large Corporate,EXW,2030,3634
202401,35005791,10,3500579110,BS,2024 Jan,E0221,Sudan,Export,ABCF,0.8,1250,BSQH,,1500,Middle East,EXW,2310,2310
202401,35005762,10,3500576210,GI,2024 Jan,E0091,Bulgaria,Export,GCCF,1.24,1250,DX51D,140,210,Europe,CFR,2310,2310
202401,35005762,20,3500576220,GI,2024 Jan,E0091,Bulgaria,Export,GCCF,,1250,DX51D,140,420,Europe,CFR,2310,2310
202401,35005719,20,3500571920,GI,2024 Jan,E0108,Kenya,Export,GCRF,0.35,110,DX51D,100,116.02,Africa,CFR,3650,3650
202401,35005719,10,3500571910,GI,2024 Jan,E0108,Kenya,Export,GCRF,0.35,120,DX51D,100,126.78,Africa,CFR,3650,3650
202312,30081469,10,3008146910,PP,2024 Jan,L0237,Egypt,Local,POGF,0.5,1250,DX51D,120,1.5,Stocking and Distrib,EXW,2170,4696
202401,30081408,10,3008140810,GI,2024 Jan,L0058,Egypt,Local,GHRF,2,140,DX51D,330,60,Stocking and Distrib,EXW,2030,2300
202401,30081408,20,3008140820,GI,2024 Jan,L0058,Egypt,Local,GHRF,2,180,DX51D,330,10,Stocking and Distrib,EXW,2030,2300
202312,30081422,10,3008142210,PP,2024 Jan,L0209,Egypt,Local,POCF,0.4,1250,DX51D,120,3.46,Corporate,EXW,1970,3048
202312,30081422,20,3008142220,PP,2024 Jan,L0209,Egypt,Local,POCF,0.5,1250,DX51D,120,20,Corporate,EXW,1970,2544
202312,35005701,10,3500570110,GI,2024 Jan,E0078,Greece,Export,GCCF,1.2,1250,DX51D,100,100,Europe,FOB,2190,2190
202312,35005701,30,3500570130,GI,2024 Jan,E0078,Greece,Export,GCCF,1.6,1250,DX51D,100,175,Europe,FOB,1990,1990
202312,35005701,50,3500570150,GI,2024 Jan,E0078,Greece,Export,GHCF,2.7,1250,DX51D,100,25,Europe,FOB,1990,1990
202312,35005701,40,3500570140,GI,2024 Jan,E0078,Greece,Export,GHCF,1.9,1250,DX51D,100,25,Europe,FOB,1990,1990
202401,30081239,30,3008123930,PP,2024 Jan,L0328,Egypt,Local,PORF,0.4,595,DX51D,80,34,Corporate,,2370,4915
202401,30081239,50,3008123950,PP,2024 Jan,L0328,Egypt,Local,PORF,0.4,565,DX51D,80,14,Corporate,CPT,2770,2216
202401,30081239,60,3008123960,PP,2024 Jan,L0328,Egypt,Local,PONF,0.4,,DX51D,80,8,Corporate,CPT,2490,4915
202312,30082097,30,3008209730,GI,2024 Jan,L0117,Egypt,Local,GCCF,1,1250,DX51D,330,10,Projects,EXW,1950,4503
202312,30082097,10,3008209710,GI,2024 Jan,L0117,Egypt,Local,GCCF,0.7,1250,DX51D,275,15,Projects,EXW,1950,4632
202312,30082097,20,3008209720,GI,2024 Jan,L0117,Egypt,Local,GCCF,0.8,1250,DX51D,330,40,Projects,,1950,4695
202401,35005745,10,3500574510,GI,2024 Jan,E0102,Kenya,Export,GCRF,0.35,100,DX51D,100,8.52,Africa,CFR,3650,3650
202401,35005745,20,3500574520,GI,2024 Jan,E0102,Kenya,Export,GCRF,0.35,120,DX51D,100,15.92,Africa,CFR,3650,3650
202311,30079562,20,3007956220,GI,2024 Jan,L0163,Egypt,Local,GCCF,1.2,1250,DX53D,80,14.42,Corporate,CPT,2410,2163
202311,30079562,30,3007956230,GI,2024 Jan,L0163,Egypt,Local,GCCF,1,1250,DX53D,275,35,Corporate,CPT,2610,2416
202311,30079562,10,3007956210,GI,2024 Jan,L0163,Egypt,Local,GCCF,1,1250,DX53D,80,34.11,Corporate,CPT,2410,2163
202401,35005758,10,3500575810,GI,2024 Jan,E0217,Kenya,Export,GCRF,0.35,110,DX51D,100,5.67,Africa,CFR,3650,3650
